Distance,Size,Direction,Time,Distance Traveled,Misclick
600,320,1,0.5189533233642578,247.4772716836841,0
600,128,-1,0.5737874507904053,103.77379245262264,0
500,256,1,0.49775171279907227,111.80339887498948,0
500,320,1,0.5212812423706055,159.69971822141704,0
500,320,-1,0.45709872245788574,194.31160541768986,0
600,320,-1,0.47575831413269043,324.5196450139806,0
500,128,1,0.49320340156555176,97.30878685915265,0
600,256,1,0.4762580394744873,145.24462124292245,1
600,256,1,0.336566686630249,180.40509970618902,0
500,192,1,0.747408390045166,118.71394189394942,0
500,128,-1,0.581012487411499,111.07204868912791,0
500,256,-1,0.49079036712646484,162.33915116200404,0
500,192,-1,0.5076370239257812,168.4339633209407,0
600,256,-1,0.47634387016296387,138.92443989449805,0
600,128,1,0.407808780670166,55.226805085936306,0
600,192,1,0.6878139972686768,169.33103672983285,0
