Distance,Size,Direction,Time,Distance Traveled,Errors
400,64,1,1.9829540252685547,59.80802621722272,0
400,256,-1,1.206787109375,153.37861650177967,0
300,64,-1,1.2089574337005615,52.88667128870941,0
500,196,-1,1.6368939876556396,217.0829334609241,1
600,256,-1,1.1566646099090576,145.45446022724775,0
300,196,-1,0.9922847747802734,84.09518416651456,0
600,64,1,1.456620693206787,39.11521443121589,0
400,128,1,1.0849108695983887,69.8927750200262,0
500,128,-1,1.139559030532837,74.06078584514209,0
600,128,-1,1.3844282627105713,82.46211251235322,0
600,196,1,1.3111803531646729,200.14244927051334,0
600,64,-1,2.1147236824035645,34.655446902326915,1
500,196,1,1.2007527351379395,199.48934808655824,0
300,64,1,1.7076940536499023,5.0,0
500,128,-1,1.338632583618164,139.61733416735902,0
600,256,-1,1.1096506118774414,220.62864727863425,0
400,128,-1,1.0129454135894775,115.62439189029277,0
600,256,-1,0.9646632671356201,212.13203435596427,0
300,256,1,1.2912657260894775,252.3826459961144,0
300,64,1,1.1429438591003418,26.1725046566048,0
400,128,-1,1.4316515922546387,92.63368717696602,0
400,256,-1,0.9663240909576416,174.64249196572982,0
500,64,1,1.1690208911895752,60.8276253029822,0
300,128,1,1.218151569366455,87.36704184073076,0
300,128,-1,1.047614336013794,99.40321926376429,0
500,128,1,1.0653233528137207,126.62543188475212,0
500,196,-1,1.1226527690887451,210.05951537600004,0
300,128,-1,1.1057448387145996,83.52843827104634,0
500,196,-1,1.052720069885254,152.32202729743324,0
500,128,1,0.961139440536499,94.51454914456292,0
400,196,-1,1.054952621459961,122.06555615733703,0
400,64,1,1.6578919887542725,48.373546489791295,1
300,256,-1,0.7172560691833496,101.67103815738285,0
500,256,-1,1.1496679782867432,206.30559856678636,0
600,64,1,1.3887135982513428,48.877397639399746,0
500,64,-1,2.4257211685180664,48.16637831516918,0
300,256,-1,0.9528985023498535,253.24296633865274,0
600,64,-1,1.0173978805541992,55.14526271584895,0
300,256,1,1.0170340538024902,256.7586415293554,0
300,256,-1,0.9004557132720947,112.72976536833562,0
500,256,-1,0.701488733291626,156.97452022541748,0
600,196,-1,1.1230621337890625,158.00316452527144,0
300,196,-1,0.8377969264984131,146.50938536489735,0
400,256,-1,1.3206713199615479,190.80094339389416,1
400,128,1,0.806734561920166,98.3107318658548,0
600,196,1,1.284958839416504,102.85912696499032,0
600,256,1,1.8670563697814941,139.40229553346674,0
400,256,-1,1.1864168643951416,124.67958934805648,0
600,128,-1,1.597620964050293,91.92388155425118,1
300,256,-1,1.1204864978790283,195.420060382756,0
300,64,-1,1.260258674621582,28.0,0
400,256,-1,1.0973429679870605,186.76188047886004,1
600,196,-1,1.485954761505127,146.98639392814562,1
300,256,1,0.7310628890991211,165.72265988693277,0
600,64,1,1.3276569843292236,38.948684188300895,0
500,128,1,1.5139167308807373,114.69088891450794,0
300,128,1,1.1221094131469727,123.69316876852982,0
400,64,-1,1.3551676273345947,40.70626487409524,0
600,256,1,4.0439722537994385,107.56393447619885,3
500,196,1,1.0810511112213135,136.41847382227965,0
500,64,1,1.8770701885223389,65.79513659838392,1
400,196,-1,0.967038631439209,90.27181176868004,0
300,196,-1,0.9188232421875,166.29191201017565,0
400,196,-1,1.1702055931091309,196.8146336022807,0
600,196,1,0.9845452308654785,119.97082978791136,0
500,256,-1,0.7630002498626709,151.5585695366646,0
400,64,-1,1.0959086418151855,55.0,0
500,64,-1,2.174018621444702,43.41658669218482,1
400,196,-1,1.2907607555389404,159.5399636454766,0
600,128,1,1.0161824226379395,76.92203845452875,0
300,256,1,1.2746210098266602,180.60177186284747,0
500,64,-1,1.2475121021270752,27.586228448267445,0
500,256,1,0.79842209815979,200.44949488586894,0
300,256,-1,0.9721059799194336,185.80096878111266,0
400,128,-1,0.858137845993042,125.8729518204765,0
600,256,-1,1.2936010360717773,244.2396364229197,0
600,256,1,0.8143701553344727,209.72362766269327,0
600,128,-1,1.2484941482543945,51.62363799656123,0
400,256,1,0.9998650550842285,178.1937148162078,0
400,128,1,1.0804169178009033,94.36630754670864,0
300,64,1,1.0244569778442383,29.832867780352597,0
600,64,-1,0.9623425006866455,15.524174696260024,0
400,256,-1,0.9498050212860107,229.44498251214821,0
400,256,-1,0.9601807594299316,224.39696967650877,0
400,64,1,1.6272447109222412,29.732137494637012,0
300,128,-1,1.169081449508667,125.03199590504823,1
400,256,1,0.7588205337524414,226.01991062736045,0
300,128,1,1.6601812839508057,95.90099061010788,1
300,196,-1,0.8153612613677979,146.4923206178399,0
600,128,1,0.8789362907409668,82.46211251235322,0
400,64,-1,0.7798604965209961,37.44329045369811,0
600,196,1,0.7745532989501953,143.12232530251876,0
300,128,-1,0.7732491493225098,72.47068372797375,0
500,256,-1,0.7242381572723389,81.74350127074322,0
600,64,-1,1.2433218955993652,60.60528029800704,0
300,196,1,0.889704704284668,142.27438279606065,0
400,128,-1,0.7666065692901611,83.00602387778854,0
500,128,-1,1.4315035343170166,68.00735254367721,2
500,256,1,1.3106319904327393,133.68619973654722,1
400,196,-1,1.78182053565979,223.48601745970598,2
400,196,1,0.7979021072387695,200.86313748420838,0
600,64,1,1.3832292556762695,48.093658625644196,0
300,64,-1,1.1482787132263184,41.036569057366385,0
600,64,-1,1.560683250427246,75.45197147855052,1
600,64,-1,1.4510397911071777,31.827660925679098,0
400,256,1,1.0995733737945557,164.78470802838473,1
600,196,-1,1.2409379482269287,137.38267721950973,1
400,128,1,0.9523189067840576,65.76473218982953,0
500,256,1,0.9175083637237549,239.00209204105306,0
500,196,1,1.1507277488708496,161.96913286178943,0
400,64,-1,1.4521753787994385,58.89821729050889,1
600,128,1,0.9395077228546143,117.99152511939153,0
300,64,-1,1.044273853302002,34.92849839314596,0
500,64,1,1.0650687217712402,42.43819034784589,0
500,196,-1,0.8530194759368896,123.42204017111368,0
500,64,-1,0.9509506225585938,35.608987629529715,0
300,196,1,0.9032068252563477,130.86252328302402,0
500,128,1,1.2514457702636719,161.07451691686057,1
500,196,1,0.9876081943511963,179.10890541790488,0
400,256,-1,0.8425071239471436,148.00337833982033,0
400,196,1,0.7071607112884521,66.21933252457322,0
500,256,1,1.0062463283538818,190.70920271449933,0
300,64,-1,1.1291172504425049,54.120236510939236,0
300,64,1,0.8610012531280518,63.0317380372777,0
400,128,-1,0.9038631916046143,78.74642849044012,0
300,128,1,0.7016358375549316,73.40980860893181,0
300,196,-1,0.5176715850830078,171.3300907604966,0
300,64,1,1.25809907913208,60.90155991434045,1
300,64,1,1.4859364032745361,20.615528128088304,0
300,64,-1,0.9840033054351807,50.695167422546305,0
500,128,1,1.2983336448669434,94.17536832951598,0
500,64,-1,1.018913745880127,49.658836071740545,0
400,196,-1,0.9163525104522705,97.01546268507923,0
300,128,1,0.8496804237365723,55.226805085936306,0
300,128,1,0.8355865478515625,139.31259813814398,0
600,128,1,1.0839827060699463,131.59027319676784,0
500,128,-1,1.2237391471862793,113.87712676389407,0
500,256,1,1.0852351188659668,140.71957930579526,0
500,128,1,0.9287512302398682,92.91393867445294,0
300,128,-1,0.9112961292266846,92.13576938409967,0
600,128,1,0.7271063327789307,50.60632371551998,0
600,196,-1,0.6885650157928467,119.40686747419514,0
400,196,1,0.8484976291656494,204.55317157159897,0
400,128,-1,0.6989073753356934,77.00649323271382,0
600,256,-1,0.7751672267913818,142.52368224263643,0
600,128,1,0.7245769500732422,120.10412149464314,0
300,256,-1,0.993295431137085,230.97185975785015,1
300,128,1,1.9738407135009766,57.62811813689564,2
400,256,1,0.780695915222168,196.65706191235543,0
600,256,-1,0.6840460300445557,150.45597362683876,0
500,256,-1,0.9363541603088379,196.64434901618708,0
600,128,-1,0.9198791980743408,76.15773105863909,0
400,64,-1,1.332808494567871,81.39410298049853,0
600,256,1,0.7448289394378662,214.2545215392198,0
300,256,1,1.2445659637451172,188.2817038376273,0
500,128,1,1.0979564189910889,109.77249200050075,0
400,128,1,1.09434175491333,115.26057435220423,0
400,64,1,5.631101608276367,33.97057550292606,6
500,64,-1,1.6222271919250488,47.80167361086848,1
500,256,-1,0.8476541042327881,131.52946437965906,0
400,128,-1,0.783416748046875,114.54693361238441,0
400,196,-1,0.8087863922119141,156.95222202950808,0
600,196,-1,1.004755973815918,236.4444966583067,0
400,128,-1,0.8851478099822998,75.59100475585703,0
500,196,-1,0.8013508319854736,220.6354459283458,0
300,128,-1,0.7709763050079346,64.19501538281614,0
400,256,1,1.2589011192321777,239.61009995407122,1
300,128,-1,0.8860969543457031,75.92759709091287,0
500,64,-1,1.0328855514526367,47.634021455258214,0
600,64,-1,1.7429516315460205,57.14017850864661,1
600,196,-1,1.234208583831787,197.2004056790959,0
400,64,-1,1.0970237255096436,13.416407864998739,0
600,196,-1,1.418257713317871,206.48002324680226,1
500,128,1,1.3635213375091553,55.47071299343465,1
500,256,-1,0.9206583499908447,226.4199637841151,0
600,128,-1,1.0545625686645508,56.568542494923804,0
600,64,1,0.9672069549560547,34.539832078341085,0
400,196,1,1.5310428142547607,165.01212076693034,1
400,64,-1,0.8702621459960938,53.2634959423431,0
500,196,-1,0.6625902652740479,65.0,0
400,64,1,1.500560998916626,48.25971404805462,1
300,256,-1,0.6286270618438721,126.4792473095883,0
500,256,-1,0.7283949851989746,147.78700890132393,0
300,196,1,0.7156684398651123,102.88342918079665,0
400,196,1,1.0952014923095703,158.22136391777187,0
500,256,1,0.9417834281921387,261.4000765110829,0
600,64,-1,0.9668641090393066,51.0,0
300,196,-1,0.8265745639801025,125.80143083447024,0
300,64,1,0.9538955688476562,42.05948168962618,0
300,64,-1,1.0684998035430908,35.90264614203248,0
600,256,1,0.9700777530670166,204.84140206510986,0
300,256,-1,0.6333966255187988,67.17886572427373,0
600,196,1,0.9536840915679932,146.4923206178399,0
500,256,-1,1.1967103481292725,243.74166652421167,1
400,256,-1,0.7893533706665039,164.76953601925328,0
600,256,-1,0.8072936534881592,187.72320048411703,0
400,196,-1,0.8356842994689941,183.86951895297926,0
600,196,-1,1.0346927642822266,223.55759884199867,0
400,128,1,1.0825331211090088,86.40023148117139,0
300,128,-1,0.8465485572814941,120.88010589009261,0
500,256,1,0.8011460304260254,70.178344238091,0
500,256,1,1.0257470607757568,177.91290003819284,0
300,196,-1,0.828660249710083,117.88553770501282,0
400,64,1,1.0387635231018066,40.607881008493905,0
500,128,1,1.056769609451294,86.76981041814025,0
300,256,1,1.1016278266906738,293.59325605333646,1
300,256,-1,0.9413666725158691,194.61243536834948,1
400,196,1,0.9868917465209961,119.63277142990545,0
600,196,1,1.0057673454284668,162.64070831129578,0
400,256,1,1.0872421264648438,148.22280526288793,0
300,256,1,0.9684841632843018,289.0121104729004,0
500,196,1,1.1468250751495361,191.19100397246729,0
300,64,-1,1.1809241771697998,39.824615503479755,0
400,128,1,0.8479056358337402,92.20086767487604,0
500,256,1,1.0679316520690918,182.4719156473127,0
600,196,-1,0.7177906036376953,59.841457201508724,0
400,256,-1,0.8476424217224121,193.72403051764127,0
400,64,-1,0.9317502975463867,25.495097567963924,0
300,196,1,0.7607729434967041,152.64337522473747,0
500,196,-1,0.7162015438079834,192.01041638411183,0
600,64,1,1.511667013168335,51.62363799656123,1
400,196,1,1.0642726421356201,249.897979183506,0
500,64,1,1.2405717372894287,53.150729063673246,0
400,256,1,0.9030246734619141,167.0478973228936,0
500,196,1,0.8974249362945557,63.0,0
300,196,1,1.001948356628418,162.3607095328177,0
400,128,-1,1.018455982208252,120.74767078498864,0
600,128,-1,0.8663358688354492,63.12685640834652,0
300,128,1,1.354254961013794,132.01893803541975,1
300,128,-1,0.7690813541412354,93.94147114027967,0
600,196,1,0.8141329288482666,175.54771431152272,0
400,196,1,1.5885262489318848,207.03864373589778,1
500,196,-1,0.7203629016876221,130.24976007655445,0
500,196,1,1.0824122428894043,171.7032323516363,0
600,196,1,1.1168475151062012,104.10091258005379,0
400,128,1,1.6299188137054443,75.45197147855052,0
600,256,-1,0.6879136562347412,179.06702655709677,0
500,64,1,1.0477948188781738,22.627416997969522,0
500,256,1,1.1448583602905273,141.90489773083945,0
600,64,-1,1.0948786735534668,65.85590330410783,0
300,256,1,1.1479506492614746,275.9365869180816,1
600,64,1,1.4888291358947754,47.80167361086848,0
600,128,-1,0.8101787567138672,138.67948658687772,0
600,256,1,0.7979311943054199,178.46568297574746,0
500,128,-1,0.7929742336273193,101.01980003939822,0
400,196,1,1.1174662113189697,181.95878654244757,1
600,128,1,1.158071517944336,48.08326112068523,0
300,64,1,1.0192627906799316,52.80151512977634,0
400,196,1,1.2078120708465576,187.8776197422141,0
500,128,-1,0.8088514804840088,67.97793759742936,0
500,128,1,1.3740026950836182,66.85057965343307,1
600,196,-1,0.7540066242218018,151.32745950421557,0
300,196,-1,0.7525720596313477,149.58609561052123,0
600,128,-1,0.8828682899475098,132.8834075421006,0
600,64,1,1.0333561897277832,13.0,0
300,196,1,1.5839474201202393,89.08984229416954,1
400,64,1,1.0535011291503906,39.6232255123179,0
300,256,1,0.8635244369506836,304.38462510448846,0
300,196,1,1.0631444454193115,156.0,0
300,256,1,1.067579984664917,229.17242417009948,0
500,64,-1,0.9280660152435303,54.230987451824994,0
300,128,1,0.8644964694976807,94.11163583744573,0
400,256,1,0.765521764755249,127.90621564255585,0
500,196,-1,0.6859743595123291,104.66135867644753,0
500,128,-1,1.2511789798736572,109.288608738514,0
300,196,1,0.7512223720550537,157.8670326572334,0
600,256,1,1.1279630661010742,114.6298390472568,0
600,64,-1,0.9336254596710205,67.77905281132217,0
300,128,-1,0.9957389831542969,29.068883707497267,0
300,196,-1,0.6512463092803955,140.92906016858268,0
600,128,1,1.3913850784301758,78.64477096412705,1
500,64,-1,1.0373458862304688,61.26989472816156,0
600,256,1,1.0906059741973877,151.92103211866353,0
600,256,-1,0.7470333576202393,243.47895186237352,0
400,64,-1,0.9827365875244141,40.311288741492746,0
300,64,1,0.9105966091156006,43.9089968002003,0
600,128,-1,0.9923179149627686,95.46203433826454,0
400,128,1,0.8816637992858887,137.80058055030102,0
500,64,-1,1.2167563438415527,55.154328932550705,0
500,256,-1,0.8132638931274414,251.04780421266383,0
600,128,-1,1.0809473991394043,112.80514172678478,0
300,196,1,0.8287827968597412,158.52129194527782,0
400,64,-1,1.2030096054077148,63.198101237299845,1
300,196,1,0.7270808219909668,138.68309197591464,0
400,128,-1,0.9310076236724854,100.08995953640904,0
300,128,1,1.964961051940918,127.40486646906389,0
400,64,1,1.2347667217254639,41.78516483155236,0
600,128,1,1.1382136344909668,97.41663102366043,0
400,256,1,0.932457447052002,229.49074055394914,0
500,64,1,1.3093557357788086,47.853944456021594,0
600,128,1,1.2687773704528809,80.62257748298549,0
500,196,1,1.243802785873413,162.60688792299052,0
400,196,-1,0.7874202728271484,166.97305171793442,0
600,256,-1,0.8456015586853027,159.66527487215245,0
600,196,1,1.0062103271484375,96.87620966986684,0
300,64,1,1.182802677154541,43.08131845707603,0
600,256,1,1.2538878917694092,207.07728026029315,0
500,64,1,2.121222734451294,77.15568676384133,1
400,128,1,1.0949513912200928,128.00390619039717,0
400,196,-1,1.1603069305419922,157.01273833673497,1
400,64,1,1.0181236267089844,58.60034129593445,0
600,256,1,0.9956395626068115,157.95252451290546,0
500,196,1,1.138716220855713,157.8005069700348,0
500,196,1,1.16485595703125,108.45275469069469,0
600,196,1,1.1443309783935547,175.85505395068975,0
300,64,-1,0.9767289161682129,57.28001396647874,0
500,64,1,0.8757271766662598,65.0,0
500,64,1,1.1402451992034912,70.80254232723568,0
500,128,-1,0.8479723930358887,91.52595260361949,0
